   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    delta0    pairing    Equad     Eoct     beta2
  26  58 Fe -0.5  10.045  6.500E+03  1.000E+03   2   1.675   22   3.790  -0.52836   0.18075   3.11070   0.095   1.57568   0.14920   2.26474   3.48421   0.199
  26  59 Fe  0.0   6.581  2.540E+04  4.900E+03   6   0.726   16   1.962   0.28040   0.17972   3.80584   0.155   1.56227   0.15892   2.14366   3.29795   0.219
  27  60 Co -3.5   7.492  1.250E+03  1.500E+02   7   0.615   15   1.208  -0.60652   0.17872   4.61179   0.095   1.54919  -0.43825   2.21052   3.40080   0.163
  28  59 Ni  0.0   8.999  1.340E+04  9.000E+02   2   0.465   23   2.681  -3.08201   0.17972   4.42143   0.045   1.56227  -0.06450   2.56971   3.95340   0.000
  28  60 Ni -1.5  11.388  2.000E+03  7.000E+02   7   3.124   32   4.191  -2.24482   0.17872   3.54345   0.195   1.54919   0.48658   2.41449   3.71460   0.027
  28  61 Ni  0.0   7.820  1.380E+04  9.000E+02   8   1.185   15   1.998  -1.25198   0.17774   4.26983   0.050   1.53644  -0.14070   2.25535   3.46976  -0.130
  28  62 Ni -1.5  10.597  2.100E+03  1.500E+02   6   3.059   18   3.518  -0.76675   0.17678   3.38822   0.045   1.52400   0.40006   2.16886   3.33670  -0.096
  28  63 Ni  0.0   6.838  1.600E+04  3.000E+03   8   1.324   18   2.353   0.15765   0.17584   4.27420   0.160   1.51186  -0.19485   2.04199   3.14152  -0.122
  28  65 Ni  0.0   6.098  1.960E+04  3.000E+03   7   1.418   17   2.325   1.22812   0.17401   4.20582   0.145   1.48842  -0.07692   1.88917   2.90641  -0.079
  29  64 Cu -1.5   7.916  9.500E+02  9.000E+01   4   0.362   29   1.607  -0.25753   0.17492   4.61734   0.075   1.50000  -0.62502   2.05775   3.16576   0.153
  29  66 Cu -1.5   7.066  1.300E+03  1.100E+02   5   0.465   16   1.158   0.91424   0.17313   4.51634   0.075   1.47710  -0.30906   1.89328   2.91274  -0.156
  30  65 Zn  0.0   7.979  3.590E+03  1.600E+02   7   0.910   18   1.603   0.54034   0.17401   4.20903   0.040   1.48842   0.62979   1.95243   3.00373  -0.264
  30  67 Zn  0.0   7.052  4.620E+03  5.500E+02   2   0.185   19   1.643   1.84642   0.17227   4.03226   0.100   1.46603   0.77817   1.78992   2.75373  -0.182
  30  68 Zn -2.5  10.198  4.000E+02  6.000E+01   8   2.751   15   3.160   1.95394   0.17142   3.64920   0.120   1.45521  -0.16677   1.75930   2.70662  -0.156
  30  69 Zn  0.0   6.482  5.560E+03  4.300E+02   2   0.531   25   1.983   2.64270   0.17058   3.99585   0.075   1.44463   0.65975   1.68516   2.59255  -0.164
  30  71 Zn  0.0   5.834  7.200E+03  8.000E+02   8   1.078   15   1.857   3.26933   0.16897   4.56232   0.125   1.42414   0.02839   1.60119   2.46338   0.053
  31  70 Ga -1.5   7.654  3.500E+02  6.000E+01   4   0.879   29   1.359   2.33109   0.16977   4.56240   0.145   1.43427   0.01452   1.68831   2.59740  -0.207
  31  72 Ga -1.5   6.520  3.800E+02  6.000E+01   8   0.229   16   0.408   3.40927   0.16818   4.49203   0.140   1.41421   0.77014   1.57318   2.42028  -0.215
  32  71 Ge  0.0   7.416  8.900E+02  2.100E+02   2   0.198   17   1.154   3.21835   0.16897   4.49370   0.215   1.42414   1.12739   1.60471   2.46879  -0.215
  32  73 Ge  0.0   6.783  1.500E+03  3.000E+02   6   0.392   20   0.904   3.75953   0.16741   4.08226   0.180   1.40449   1.51173   1.53227   2.35734  -0.224
  32  74 Ge  4.5  10.196  6.200E+01  1.500E+01   6   1.725   19   2.697   3.21943   0.16665   4.00751   0.205   1.39497   0.39876   1.55024   2.38498  -0.224
