   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    delta0    pairing    Equad     Eoct     beta2
  60 144 Nd -3.5   7.817  3.500E+01  5.000E+00   8   2.093   29   2.593   0.34170   0.13349   7.56067   0.170   1.00000  -0.43584   1.01606   1.56317   0.000
  60 145 Nd  0.0   5.755  4.500E+02  5.000E+01   8   0.937   21   1.339   1.10949   0.13318   8.18740   0.150   0.99655   0.00027   0.97348   1.49766   0.134
  60 146 Nd -3.5   7.565  1.700E+01  3.000E+00   6   1.377   15   1.777   1.67836   0.13287   7.18244   0.210   0.99313   0.18030   0.94252   1.45003   0.161
  60 147 Nd  0.0   5.292  2.900E+02  5.000E+01   4   0.215   20   0.957   2.48818   0.13257   7.96920   0.250   0.98974   0.47109   0.90342   1.38988   0.181
  60 148 Nd -2.5   7.333  3.500E+00  1.700E+00   5   1.023   17   1.600   2.86341   0.13227   7.99030   0.695   0.98639   0.51524   0.88359   1.35937   0.206
  60 149 Nd  0.0   5.039  1.550E+02  2.000E+01   2   0.138   15   0.404   3.51912   0.13198   7.85333   0.190   0.98308   1.05341   0.85415   1.31408   0.215
  60 151 Nd  0.0   5.335  1.650E+02  1.500E+01   8   0.250   28   0.766   3.40400   0.13139   7.54811   0.130   0.97655   0.81970   0.84887   1.30595   0.252
  61 148 Pm  3.5   5.895  5.200E+00  1.200E+00   8   0.305   18   0.462   2.86178   0.13227   9.04169   0.320   0.98639   0.17431   0.88365   1.35947   0.189
  62 145 Sm  0.0   6.757  6.700E+02  6.000E+01   4   1.436   17   1.877  -0.22344   0.13318   7.73631   0.105   0.99655  -0.63709   1.03909   1.59860  -0.035
  62 148 Sm -3.5   8.141  5.100E+00  5.000E-01   8   1.465   29   2.205   2.03332   0.13227   7.66301   0.125   0.98639   0.00740   0.91688   1.41058   0.161
  62 149 Sm  0.0   5.871  1.000E+02  2.000E+01   7   0.558   19   0.836   2.90239   0.13198   7.92640   0.275   0.98308   0.55622   0.87715   1.34946   0.180
  62 150 Sm -3.5   7.987  2.100E+00  3.000E-01   3   0.773   21   1.765   3.24528   0.13168   7.20921   0.175   0.97980   0.43963   0.85941   1.32217   0.206
  62 151 Sm  0.0   5.596  4.600E+01  8.000E+00   5   0.105   16   0.307   3.97282   0.13139   7.95650   0.245   0.97655   1.12459   0.82872   1.27496   0.215
  62 152 Sm -2.5   8.258  1.040E+00  1.500E-01   5   0.810   17   1.310   3.62388   0.13110   7.65319   0.175   0.97333   0.83992   0.83635   1.28670   0.243
  62 153 Sm  0.0   5.868  4.800E+01  5.000E+00   4   0.065   17   0.266   3.67784   0.13082   7.47753   0.135   0.97014   1.25900   0.82990   1.27677   0.261
  62 155 Sm  0.0   5.807  1.140E+02  1.500E+01   7   0.251   15   0.618   2.94129   0.13025   7.69658   0.180   0.96386   0.58776   0.84732   1.30357   0.270
  63 152 Eu  2.5   6.307  7.300E-01  7.000E-02   2   0.065   17   0.149   4.21396   0.13110   9.36780   0.135   0.97333   0.70568   0.81597   1.25534   0.224
  63 153 Eu -3.0   8.550  5.600E-01  1.000E-01   6   0.193   15   0.478   3.88018   0.13082   7.17090   0.195   0.97014   0.80810   0.82287   1.26595   0.252
  63 154 Eu  2.5   6.442  1.100E+00  2.000E-01   8   0.101   19   0.181   3.67151   0.13053   9.05262   0.245   0.96699   0.61807   0.82563   1.27019   0.262
  63 155 Eu -3.0   8.151  9.200E-01  1.200E-01   8   0.307   16   0.627   3.32567   0.13025   7.57395   0.150   0.96386   0.64057   0.83336   1.28209   0.270
  63 156 Eu  2.5   6.340  4.300E+00  1.500E+00   2   0.048   15   0.260   2.82727   0.12997   8.66668   0.470   0.96077   0.18278   0.84700   1.30308   0.270
  64 153 Gd  0.0   6.247  1.400E+01  3.000E+00   6   0.135   19   0.321   3.97879   0.13082   8.13852   0.285   0.97014   1.23252   0.81948   1.26074   0.215
  64 155 Gd  0.0   6.435  1.450E+01  1.500E+00   8   0.214   16   0.326   3.70447   0.13025   8.00579   0.135   0.96386   1.18482   0.82004   1.26160   0.252
  64 156 Gd -1.5   8.536  1.700E+00  2.000E-01   4   0.965   16   1.366   3.26949   0.12997   7.61828   0.140   0.96077   0.70201   0.83091   1.27832   0.271
  64 157 Gd  0.0   6.360  3.000E+01  6.000E+00   5   0.180   15   0.479   3.05149   0.12969   8.02190   0.260   0.95770   0.85419   0.83431   1.28356   0.271
  64 158 Gd -1.5   7.937  4.900E+00  5.000E-01   2   0.261   17   1.372   2.81439   0.12942   7.23553   0.120   0.95467   0.79186   0.83853   1.29005   0.271
  64 159 Gd  0.0   5.943  8.200E+01  6.000E+00   8   0.227   19   0.642   2.62964   0.12915   7.99601   0.100   0.95166   0.61553   0.84095   1.29376   0.280
  64 161 Gd  0.0   5.635  2.000E+02  2.000E+01   8   0.438   23   0.925   2.24450   0.12861   7.84854   0.135   0.94573   0.47888   0.84664   1.30252   0.290
  65 160 Tb  1.5   6.375  4.200E+00  3.000E-01   4   0.079   22   0.279   2.58500   0.12888   9.05116   0.095   0.94868   0.27882   0.83822   1.28957   0.271
  66 157 Dy  0.0   6.969  4.800E+00  1.600E+00   8   0.239   16   0.401   3.60370   0.12969   8.71537   0.445   0.95770   1.00550   0.81479   1.25353   0.252
  66 159 Dy  0.0   6.833  2.200E+01  1.100E+01   6   0.239   27   0.635   3.15765   0.12915   7.85593   0.670   0.95166   0.90374   0.82177   1.26426   0.271
  66 161 Dy  0.0   6.454  2.700E+01  5.000E+00   8   0.201   20   0.508   2.76808   0.12861   8.12750   0.235   0.94573   0.86541   0.82717   1.27257   0.272
  66 162 Dy  2.5   8.197  2.400E+00  2.000E-01   3   0.549   18   1.391   2.46351   0.12835   7.51554   0.095   0.94281   0.73123   0.83407   1.28319   0.281
  66 163 Dy  0.0   6.271  6.200E+01  5.000E+00   3   0.251   16   0.515   2.16632   0.12808   7.94057   0.105   0.93991   0.81631   0.84093   1.29374   0.281
  66 164 Dy -2.5   7.658  6.800E+00  6.000E-01   3   0.501   15   1.261   2.01707   0.12782   7.22664   0.105   0.93704   0.80047   0.84233   1.29589   0.292
  66 165 Dy  0.0   5.716  1.500E+02  1.000E+01   6   0.186   19   0.605   1.90875   0.12756   8.08510   0.090   0.93420   0.58125   0.84221   1.29571   0.293
  67 166 Ho -3.5   6.244  4.200E+00  5.000E-01   2   0.054   16   0.373   1.71872   0.12731   9.38038   0.160   0.93138   0.05190   0.84532   1.30049   0.293
  68 163 Er  0.0   6.903  8.000E+00  2.000E+00   8   0.199   18   0.462   3.04212   0.12808   8.69696   0.325   0.93991   0.84027   0.80897   1.24457   0.272
  68 165 Er  0.0   6.650  2.100E+01  4.000E+00   3   0.077   19   0.467   2.57045   0.12756   8.17576   0.240   0.93420   0.88959   0.81752   1.25773   0.282
  68 167 Er  0.0   6.436  3.800E+01  3.000E+00   6   0.295   28   0.763   1.91820   0.12705   8.48383   0.105   0.92859   0.66661   0.83344   1.28222   0.294
  68 168 Er  3.5   7.771  4.200E+00  3.000E-01   3   0.549   15   1.311   1.84559   0.12680   7.55587   0.085   0.92582   0.64703   0.83206   1.28009   0.294
  68 169 Er  0.0   6.003  1.000E+02  1.000E+01   8   0.285   16   0.599   1.66137   0.12655   8.32000   0.135   0.92308   0.51365   0.83500   1.28461   0.304
  68 171 Er  0.0   5.682  1.470E+02  2.000E+01   8   0.378   19   0.737   1.52258   0.12605   8.57137   0.185   0.91766   0.43223   0.83218   1.28028   0.305
  69 170 Tm  0.5   6.592  8.500E+00  7.000E-01   2   0.115   21   0.440   1.52210   0.12630   9.62657   0.105   0.92036   0.01764   0.83628   1.28658   0.295
  69 171 Tm -1.0   7.486  3.900E+00  1.000E+00   7   0.520   15   0.750   1.64556   0.12605   8.80015   0.315   0.91766   0.37833   0.82746   1.27301   0.296
  70 169 Yb  0.0   6.867  8.000E+00  3.000E+00   8   0.264   25   0.722   2.33088   0.12655   9.35902   0.515   0.92308   0.64075   0.80996   1.24610   0.294
  70 170 Yb  3.5   8.470  1.600E+00  4.000E-01   6   1.139   19   1.438   2.11691   0.12630   7.63533   0.290   0.92036   0.57510   0.81379   1.25198   0.295
  70 171 Yb  0.0   6.614  3.300E+01  6.000E+00   8   0.247   15   0.509   1.88505   0.12605   8.42588   0.230   0.91766   0.59325   0.81840   1.25908   0.295
  70 172 Yb -0.5   8.019  5.800E+00  5.000E-01   5   1.043   16   1.376   1.74775   0.12581   8.39858   0.105   0.91499   0.58969   0.81957   1.26088   0.296
  70 173 Yb  0.0   6.367  7.000E+01  3.000E+00   2   0.179   16   0.659   1.40420   0.12557   8.27577   0.060   0.91234   0.54618   0.82872   1.27495   0.297
  70 174 Yb -2.5   7.465  7.800E+00  9.000E-01   8   1.382   15   1.624   1.45946   0.12533   8.44096   0.150   0.90972   0.10049   0.82262   1.26557   0.287
  70 175 Yb  0.0   5.822  1.620E+02  1.800E+01   3   0.268   15   0.742   1.31346   0.12509   8.48696   0.150   0.90711   0.43440   0.82431   1.26817   0.287
  70 177 Yb  0.0   5.566  1.850E+02  2.000E+01   3   0.150   16   0.622   1.38961   0.12461   8.57590   0.150   0.90198   0.56526   0.81363   1.25175   0.279
  71 176 Lu  3.5   6.288  3.000E+00  4.000E-01   7   0.299   20   0.488   1.38417   0.12485   9.96694   0.180   0.90453   0.01260   0.81769   1.25799   0.278
  71 177 Lu -7.0   7.073  2.750E+00  8.500E-01   7   0.458   20   0.817   1.74810   0.12461   8.57372   0.400   0.90198   0.35745   0.80022   1.23111   0.278
  72 175 Hf  0.0   6.709  1.800E+01  5.000E+00   6   0.213   15   0.475   2.02947   0.12509   8.78825   0.360   0.90711   0.67977   0.79752   1.22695   0.286
  72 177 Hf  0.0   6.383  3.000E+01  7.000E+00   3   0.321   23   0.746   1.76194   0.12461   8.94668   0.310   0.90198   0.58799   0.79971   1.23033   0.277
  72 178 Hf -3.5   7.626  2.400E+00  3.000E-01   7   1.199   18   1.434   1.83623   0.12438   8.61761   0.160   0.89944   0.49225   0.79326   1.22040   0.278
  72 179 Hf  0.0   6.099  5.700E+01  6.000E+00   3   0.269   21   0.743   1.61625   0.12415   8.78384   0.140   0.89692   0.54329   0.79760   1.22708   0.278
  72 180 Hf  4.5   7.388  4.600E+00  3.000E-01   6   1.107   19   1.381   1.58017   0.12392   7.92870   0.085   0.89443   0.52005   0.79523   1.22344   0.279
  72 181 Hf  0.0   5.695  9.400E+01  1.500E+01   8   0.329   15   0.762   1.43091   0.12369   9.37809   0.230   0.89195   0.28553   0.79708   1.22628   0.279
  73 181 Ta  1.0   7.577  1.200E+00  2.000E-01   8   0.543   20   1.403   1.42712   0.12369  10.12661   0.220   0.89195  -0.12962   0.79722   1.22650   0.269
  73 182 Ta  3.5   6.063  4.200E+00  3.000E-01   5   0.163   17   0.396   1.17603   0.12346  10.14641   0.100   0.88950  -0.03825   0.80298   1.23536   0.259
  73 183 Ta -3.0   6.934  3.500E+00  7.000E-01   2   0.143   15   1.030   1.51775   0.12324   8.79190   0.260   0.88707   0.08998   0.78663   1.21020   0.260
  74 181 W   0.0   6.681  2.000E+01  7.000E+00   2   0.251   18   0.675   1.42089   0.12369   9.36303   0.465   0.89195   0.57172   0.79746   1.22686   0.258
  74 183 W   0.0   6.191  6.000E+01  6.000E+00   7   0.309   16   0.631   1.11420   0.12324   9.09205   0.135   0.88707   0.40582   0.80166   1.23333   0.250
  74 184 W  -0.5   7.412  1.200E+01  1.000E+00   8   1.130   24   1.502   1.23481   0.12301   8.89304   0.105   0.88465   0.44517   0.79350   1.22077   0.240
  74 185 W   0.0   5.754  7.000E+01  7.000E+00   8   0.302   29   0.921   1.22450   0.12279   9.69798   0.145   0.88226   0.36276   0.79031   1.21586   0.241
  74 187 W   0.0   5.467  8.500E+01  8.000E+00   8   0.366   20   0.852   1.18643   0.12235  10.31766   0.145   0.87753   0.24631   0.78466   1.20718   0.221
  75 186 Re  2.5   6.179  3.100E+00  3.000E-01   2   0.099   26   0.501   0.93195   0.12257  10.85640   0.135   0.87988  -0.03069   0.79776   1.22732   0.221
  75 188 Re  2.5   5.872  4.100E+00  3.000E-01   2   0.064   20   0.343   0.83838   0.12213  11.13773   0.105   0.87519   0.03083   0.79423   1.22190   0.212
  76 187 Os  0.0   6.290  2.900E+01  3.000E+00   7   0.191   16   0.460   0.98896   0.12235   9.70816   0.140   0.87753   0.60149   0.79205   1.21853   0.212
  76 188 Os -0.5   7.990  4.000E+00  6.000E-01   8   1.181   29   1.771   0.70475   0.12213   9.83985   0.195   0.87519   0.18914   0.79936   1.22978   0.192
  76 189 Os  0.0   5.920  4.700E+01  6.000E+00   8   0.234   25   0.631   0.72029   0.12192  10.15599   0.180   0.87287   0.50098   0.79524   1.22344   0.183
  76 190 Os -1.5   7.792  3.400E+00  4.000E-01   8   1.115   25   1.616   0.30249   0.12170  10.01307   0.150   0.87057   0.21290   0.80804   1.24314   0.164
  76 191 Os  0.0   5.759  7.000E+01  1.000E+01   2   0.084   15   0.437   0.16123   0.12149  10.13112   0.195   0.86829   0.66703   0.81015   1.24638   0.164
  76 193 Os  0.0   5.583  1.150E+02  1.000E+01   8   0.435   15   0.952  -0.61869   0.12107  11.78207   0.135   0.86378   0.00628   0.83547   1.28533   0.155
  77 192 Ir  1.5   6.198  2.500E+00  5.000E-01   5   0.072   25   0.226  -0.03100   0.12128  11.83307   0.270   0.86603   0.45120   0.81440   1.25292   0.145
  77 193 Ir  4.0   7.772  7.000E-01  2.000E-01   5   0.299   17   0.621  -0.50195   0.12107  10.88580   0.350   0.86378   0.44519   0.83046   1.27764   0.136
  77 194 Ir  1.5   6.067  7.000E+00  2.000E+00   8   0.149   27   0.391  -1.00792   0.12086  12.28572   0.390   0.86155   0.01076   0.84893   1.30604   0.136
  78 193 Pt  0.0   6.255  2.200E+01  8.000E+00   8   0.232   19   0.520  -0.34779   0.12107  11.39198   0.505   0.86378   0.61825   0.82395   1.26762  -0.156
  78 195 Pt  0.0   6.105  2.000E+02  8.000E+01   8   0.389   20   0.591  -1.45640   0.12065   9.59972   0.495   0.85934   0.55359   0.86574   1.33191  -0.148
  78 196 Pt -0.5   7.922  1.800E+01  3.000E+00   3   0.877   16   1.610  -2.15168   0.12045  10.88284   0.195   0.85714   0.11057   0.89564   1.37791  -0.139
  78 197 Pt  0.0   5.846  3.500E+02  1.000E+02   7   0.299   15   0.529  -2.49622   0.12024  10.69396   0.355   0.85496   0.29509   0.90940   1.39908  -0.148
  78 199 Pt  0.0   5.556  3.400E+02  9.000E+01   5   0.133   19   0.979  -3.48835   0.11984  12.43576   0.345   0.85066  -0.04899   0.95597   1.47072  -0.113
  79 198 Au  1.5   6.512  1.650E+01  9.000E-01   3   0.193   17   0.406  -3.42272   0.12004  13.08453   0.070   0.85280  -0.22041   0.95619   1.47106  -0.131
  80 199 Hg  0.0   6.664  1.050E+02  3.500E+01   2   0.208   16   0.824  -4.09010   0.11984  13.32908   0.400   0.85066   0.14178   0.99212   1.52634  -0.122
  80 200 Hg -0.5   8.028  8.000E+01  3.000E+01   5   1.515   16   1.776  -4.72088   0.11964  12.11548   0.410   0.84853  -0.21671   1.02877   1.58273  -0.113
  80 201 Hg  0.0   6.230  6.500E+02  1.500E+02   3   0.032   15   1.035  -5.26325   0.11944  12.49096   0.250   0.84641  -0.22073   1.06221   1.63417  -0.105
  80 202 Hg -1.5   7.754  9.000E+01  3.000E+01   8   1.411   24   1.862  -5.92759   0.11924  13.38238   0.355   0.84432  -0.24811   1.10777   1.70426  -0.087
  81 204 Tl  0.5   6.656  2.800E+02  5.000E+01   8   0.432   26   1.135  -7.39785   0.11885  14.57800   0.165   0.84017  -0.20528   1.22689   1.88753  -0.044
  81 206 Tl  0.5   6.504  5.500E+03  1.500E+03   2   0.305   15   1.400  -9.07882   0.11847  18.76645   0.245   0.83608  -1.77029   1.40427   2.16042  -0.018
  82 205 Pb  0.0   6.732  2.000E+03  5.000E+02   8   0.996   17   1.614  -7.56355   0.11866  13.11158   0.220   0.83812  -0.17173   1.23818   1.90490  -0.018
  82 207 Pb  0.0   6.738  3.200E+04  6.000E+03   3   1.633   15   3.428  -9.55428   0.11828  17.59486   0.145   0.83406  -1.49476   1.46228   2.24966  -0.008
  82 208 Pb -0.5   7.368  3.800E+04  8.000E+03   2   3.198   15   4.141  -9.96111   0.11809  16.90610   0.145   0.83205  -1.75515   1.51544   2.33144   0.000
  82 209 Pb  0.0   3.937  4.000E+05  8.000E+04   2   1.423   33   3.557  -8.60729   0.11790  19.05878   0.305   0.83006  -2.22912   1.33003   2.04620  -0.008
  83 210 Bi -4.5   4.605  4.000E+03  7.000E+02   8   0.550   21   1.301  -7.61039   0.11771  13.72812   0.175   0.82808  -0.83052   1.21816   1.87409  -0.018
  88 227 Ra  0.0   4.561  3.100E+01  6.000E+00   8   0.139   17   0.299   3.81650   0.11470  10.80798   0.360   0.79647   0.76603   0.59390   0.91369   0.181
  90 229 Th  0.0   5.257  5.000E+00  3.000E+00   8   0.097   22   0.237   3.25628   0.11436  11.64326   1.165   0.79298   1.00950   0.60377   0.92888   0.190
  90 230 Th  2.5   6.794  6.200E-01  1.200E-01   3   0.357   15   0.884   3.23933   0.11419   9.59929   0.285   0.79126   0.84397   0.60202   0.92619   0.198
  90 231 Th  0.0   5.118  9.600E+00  1.500E+00   3   0.162   16   0.334   3.31885   0.11403  11.25683   0.275   0.78954   0.76531   0.59781   0.91970   0.198
  90 233 Th  0.0   4.786  1.660E+01  6.000E-01   7   0.107   16   0.326   3.55375   0.11370  11.28242   0.070   0.78615   0.68451   0.58761   0.90401   0.215
  91 233 Pa -2.0   6.529  7.500E-01  1.500E-01   7   0.109   20   0.304   3.17563   0.11370   9.56138   0.280   0.78615   0.74744   0.59719   0.91876   0.207
  92 233 U   0.0   5.762  4.600E+00  7.000E-01   5   0.229   15   0.411   2.46929   0.11370  11.68601   0.250   0.78615   0.63218   0.61597   0.94764   0.207
  92 234 U   2.5   6.845  5.500E-01  5.000E-02   3   0.296   15   1.024   2.55780   0.11354  10.46401   0.135   0.78446   0.68168   0.61136   0.94056   0.215
  92 235 U   0.0   5.297  1.200E+01  8.000E-01   4   0.052   16   0.295   2.62567   0.11338  10.96205   0.115   0.78279   0.76444   0.60737   0.93441   0.215
  92 236 U  -3.5   6.545  4.300E-01  2.000E-02   4   0.522   17   1.051   2.75509   0.11322  10.91663   0.080   0.78113   0.66623   0.60178   0.92582   0.215
  92 237 U   0.0   5.126  1.500E+01  1.000E+00   7   0.205   21   0.545   2.74532   0.11306  11.42906   0.120   0.77948   0.52910   0.59992   0.92296   0.215
  92 238 U   0.5   6.154  3.500E+00  8.000E-01   3   0.307   18   1.056   3.01190   0.11290  10.26025   0.375   0.77784   0.66150   0.59089   0.90907   0.215
  92 239 U   0.0   4.806  2.080E+01  3.000E-01   8   0.226   34   0.898   3.07740   0.11274  12.13086   0.030   0.77622   0.27726   0.58716   0.90333   0.223
  93 237 Np -6.0   6.577  6.000E-01  6.000E-02   8   0.226   18   0.369   2.43677   0.11306   9.40305   0.140   0.77948   0.65919   0.60817   0.93565   0.215
  93 238 Np  2.5   5.488  5.700E-01  3.000E-02   2   0.062   15   0.244   2.27384   0.11290  13.36357   0.095   0.77784   0.07156   0.61047   0.93919   0.215
  93 239 Np  2.0   6.215  4.100E-01  1.000E-01   3   0.075   18   0.359   2.68501   0.11274  11.46205   0.380   0.77622   0.69216   0.59732   0.91895   0.223
  94 239 Pu  0.0   5.646  9.000E+00  1.000E+00   4   0.164   15   0.487   1.84997   0.11274  11.75635   0.180   0.77622   0.46653   0.62015   0.95407   0.223
  94 240 Pu  0.5   6.534  2.200E+00  5.000E-02   6   0.649   23   1.137   2.14352   0.11259  11.08311   0.040   0.77460   0.60409   0.60980   0.93815   0.223
  94 241 Pu  0.0   5.242  1.240E+01  7.000E-01   6   0.175   17   0.404   2.18490   0.11243  11.75547   0.100   0.77299   0.59187   0.60656   0.93316   0.224
  94 242 Pu  2.5   6.310  7.300E-01  8.000E-02   8   0.865   15   1.084   2.45144   0.11228  11.50687   0.180   0.77139   0.53922   0.59729   0.91891   0.224
  94 243 Pu  0.0   5.034  1.350E+01  1.500E+00   2   0.125   18   0.626   2.45773   0.11212  11.98646   0.200   0.76980   0.43812   0.59508   0.91550   0.224
  94 245 Pu  0.0   4.771  1.900E+01  3.000E+00   7   0.459   15   0.758   2.79874   0.11182  12.92649   0.320   0.76665   0.20440   0.58218   0.89567   0.235
  95 242 Am -2.5   5.538  5.800E-01  4.000E-02   8   0.150   16   0.274   1.68435   0.11228  13.89410   0.125   0.77139   0.01748   0.61842   0.95142   0.224
  95 243 Am -1.0   6.365  4.000E-01  8.000E-02   7   0.189   18   0.466   2.09846   0.11212  12.57063   0.315   0.76980   0.56205   0.60475   0.93039   0.224
  95 244 Am -2.5   5.366  7.300E-01  6.000E-02   7   0.195   15   0.341   1.97570   0.11197  14.15199   0.150   0.76822  -0.14399   0.60605   0.93239   0.224
  96 243 Cm  0.0   5.693  1.400E+01  3.000E+00   8   0.187   24   1.046   1.35762   0.11212  11.65392   0.350   0.76980   0.05022   0.62573   0.96266   0.234
  96 244 Cm  2.5   6.801  7.500E-01  1.500E-01   3   0.296   12   1.187   1.53420   0.11197  11.60810   0.310   0.76822   0.49834   0.61848   0.95150   0.234
  96 245 Cm  0.0   5.520  1.180E+01  1.200E+00   3   0.197   27   0.672   1.45993   0.11182  11.91484   0.170   0.76665   0.47441   0.61851   0.95155   0.234
  96 246 Cm  3.5   6.458  1.300E+00  2.000E-01   6   0.876   16   1.165   1.73038   0.11166  10.83210   0.240   0.76509   0.34489   0.60874   0.93652   0.234
  96 247 Cm  0.0   5.156  3.000E+01  5.000E+00   5   0.266   18   0.448   1.77894   0.11151  10.79487   0.265   0.76354   0.62987   0.60533   0.93128   0.235
  96 248 Cm -4.5   6.213  1.400E+00  3.000E-01   4   0.505   15   1.235   2.04999   0.11136  10.64995   0.350   0.76200   0.36492   0.59588   0.91674   0.235
  96 249 Cm  0.0   4.713  2.800E+01  5.000E+00   8   0.220   21   0.593   2.30495   0.11121  12.17306   0.340   0.76047   0.37045   0.58710   0.90323   0.235
  97 250 Bk  3.5   4.970  1.100E+00  1.000E-01   7   0.104   18   0.180   1.82202   0.11106  13.42855   0.160   0.75895   0.23452   0.59809   0.92014   0.235
  98 250 Cf -4.5   6.625  7.000E-01  1.000E-01   4   0.500   16   1.210   1.02081   0.11106  11.88760   0.225   0.75895   0.37425   0.62088   0.95521   0.245
  98 251 Cf  0.0   5.109  1.200E+01  2.000E+00   7   0.178   19   0.442   1.27659   0.11092  13.09743   0.295   0.75743   0.56195   0.61138   0.94059   0.236
