 Z= 100 A= 230  Fm beta2= 0.11 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   3.400   8.706707E-02  -2.175214E-04  -1.902296E-04  -1.423120E-04   5.138331E-05   6.577618E-02   3.722825E-04   3.934089E-04   1.593793E-04   9.276613E-05
   3.500   8.733566E-02  -2.941766E-04  -1.919062E-04  -9.786593E-05   5.984950E-05   6.566885E-02   5.713488E-04   5.195335E-04   1.779445E-04   1.016987E-04
   3.600   8.756899E-02  -3.389521E-04  -1.689541E-04  -4.739464E-05   6.875163E-05   6.550816E-02   7.541146E-04   6.319357E-04   1.959287E-04   1.102530E-04
   3.700   8.773895E-02  -3.492923E-04  -1.221205E-04   7.898262E-06   7.793590E-05   6.531154E-02   9.121299E-04   7.269675E-04   2.128336E-04   1.181949E-04
   3.800   8.782289E-02  -3.252014E-04  -5.355281E-05   6.649835E-05   8.720819E-05   6.509701E-02   1.038398E-03   8.015879E-04   2.281121E-04   1.252732E-04
   3.900   8.780486E-02  -2.691855E-04   3.326882E-05   1.266111E-04   9.632978E-05   6.488233E-02   1.127695E-03   8.534956E-04   2.411752E-04   1.312232E-04
   4.000   8.767639E-02  -1.860031E-04   1.336958E-04   1.862110E-04   1.050143E-04   6.468401E-02   1.176794E-03   8.812382E-04   2.514035E-04   1.357710E-04
   4.100   8.743653E-02  -8.223367E-05   2.421710E-04   2.431098E-04   1.129268E-04   6.451651E-02   1.184614E-03   8.842970E-04   2.581656E-04   1.386399E-04
   4.200   8.709149E-02   3.430756E-05   3.525733E-04   2.950435E-04   1.196864E-04   6.439151E-02   1.152277E-03   8.631434E-04   2.608450E-04   1.395592E-04
   4.300   8.665353E-02   1.552713E-04   4.586289E-04   3.397762E-04   1.248737E-04   6.431728E-02   1.083078E-03   8.192645E-04   2.588748E-04   1.382738E-04
   4.400   8.613955E-02   2.725401E-04   5.543641E-04   3.752189E-04   1.280434E-04   6.429810E-02   9.823888E-04   7.551559E-04   2.517790E-04   1.345567E-04
   4.500   8.556916E-02   3.790007E-04   6.345655E-04   3.995550E-04   1.287444E-04   6.433389E-02   8.574733E-04   6.742783E-04   2.392203E-04   1.282233E-04
   4.600   8.496260E-02   4.692585E-04   6.952150E-04   4.113692E-04   1.265449E-04   6.441990E-02   7.172399E-04   5.809774E-04   2.210501E-04   1.191469E-04
   4.700   8.433861E-02   5.402323E-04   7.338599E-04   4.097680E-04   1.210643E-04   6.454658E-02   5.719197E-04   4.803650E-04   1.973571E-04   1.072749E-04
   4.800   8.371228E-02   5.915716E-04   7.498865E-04   3.944848E-04   1.120088E-04   6.469957E-02   4.326813E-04   3.781620E-04   1.685112E-04   9.264502E-05
   4.900   8.309328E-02   6.258541E-04   7.446676E-04   3.659592E-04   9.920863E-05   6.485992E-02   3.111856E-04   2.805042E-04   1.351964E-04   7.540009E-05
   5.000   8.248440E-02   6.485326E-04   7.215652E-04   3.253799E-04   8.265477E-05   6.500450E-02   2.190910E-04   1.937159E-04   9.842905E-05   5.579970E-05
   5.100   8.188069E-02   6.676254E-04   6.857797E-04   2.746872E-04   6.252985E-05   6.510657E-02   1.675227E-04   1.240563E-04   5.955604E-05   3.422801E-05
   5.200   8.126912E-02   6.931648E-04   6.440506E-04   2.165264E-04   3.923131E-05   6.513660E-02   1.665245E-04   7.744832E-05   2.023082E-05   1.119566E-05
   5.300   8.062893E-02   7.364390E-04   6.042257E-04   1.541526E-04   1.338230E-05   6.506328E-02   2.245192E-04   5.920086E-05  -1.763535E-05  -1.266523E-05
   5.400   7.993260E-02   8.090861E-04   5.747275E-04   9.128859E-05  -1.417229E-05   6.485475E-02   3.478045E-04   7.373745E-05  -5.194645E-05  -3.661384E-05
   5.500   7.914738E-02   9.221104E-04   5.639559E-04   3.194079E-05  -4.238630E-05   6.447981E-02   5.401167E-04   1.243472E-04  -8.051687E-05  -5.982187E-05
   5.600   7.823727E-02   1.084904E-03   5.796718E-04  -1.981498E-05  -7.004999E-05   6.390943E-02   8.022934E-04   2.129725E-04  -1.011842E-04  -8.140278E-05
   5.700   7.716533E-02   1.304355E-03   6.284094E-04  -6.006642E-05  -9.584368E-05   6.311804E-02   1.132066E-03   3.400495E-04  -1.119334E-04  -1.004483E-04
   5.800   7.589611E-02   1.584121E-03   7.149628E-04  -8.530000E-05  -1.184049E-04   6.208491E-02   1.524001E-03   5.044129E-04  -1.110238E-04  -1.160710E-04
   5.900   7.439812E-02   1.924130E-03   8.419880E-04  -9.262199E-05  -1.364045E-04   6.079529E-02   1.969613E-03   7.032769E-04  -9.711078E-05  -1.274492E-04
   6.000   7.264603E-02   2.320355E-03   1.009750E-03  -7.994924E-05  -1.486274E-04   5.924133E-02   2.457647E-03   9.322969E-04  -6.935163E-05  -1.338744E-04
   6.100   7.062251E-02   2.764883E-03   1.216033E-03  -4.615491E-05  -1.540512E-04   5.742276E-02   2.974519E-03   1.185713E-03  -2.748796E-05  -1.347945E-04
   6.200   6.831966E-02   3.246270E-03   1.456228E-03   8.842180E-06  -1.519164E-04   5.534715E-02   3.504912E-03   1.456570E-03   2.810362E-05  -1.298522E-04
   6.300   6.573976E-02   3.750157E-03   1.723568E-03   8.405191E-05  -1.417840E-04   5.302986E-02   4.032465E-03   1.737008E-03   9.639728E-05  -1.189145E-04
   6.400   6.289548E-02   4.260102E-03   2.009526E-03   1.774534E-04  -1.235736E-04   5.049358E-02   4.540549E-03   2.018601E-03   1.757430E-04  -1.020910E-04
   6.500   5.980947E-02   4.758540E-03   2.304299E-03   2.860990E-04  -9.758001E-05   4.776754E-02   5.013052E-03   2.292731E-03   2.639306E-04  -7.973892E-05
   6.600   5.651335E-02   5.227822E-03   2.597390E-03   4.062748E-04  -6.446693E-05   4.488640E-02   5.435141E-03   2.550976E-03   3.582889E-04  -5.245374E-05
   6.700   5.304622E-02   5.651235E-03   2.878194E-03   5.337048E-04  -2.523645E-05   4.188892E-02   5.793945E-03   2.785479E-03   4.558140E-04  -2.104637E-05
   6.800   4.945291E-02   6.013924E-03   3.136591E-03   6.637859E-04   1.882190E-05   3.881645E-02   6.079123E-03   2.989298E-03   5.533187E-04   1.349296E-05
   6.900   4.578186E-02   6.303679E-03   3.363473E-03   7.918347E-04   6.619984E-05   3.571139E-02   6.283272E-03   3.156686E-03   6.475919E-04   5.004127E-05
   7.000   4.208303E-02   6.511505E-03   3.551191E-03   9.133318E-04   1.152512E-04   3.261557E-02   6.402171E-03   3.283317E-03   7.355579E-04   8.739713E-05
   7.100   3.840581E-02   6.631968E-03   3.693889E-03   1.024145E-03   1.642795E-04   2.956888E-02   6.434833E-03   3.366425E-03   8.144252E-04   1.243391E-04
   7.200   3.479709E-02   6.663306E-03   3.787710E-03   1.120722E-03   2.116254E-04   2.660794E-02   6.383392E-03   3.404857E-03   8.818149E-04   1.596843E-04
   7.300   3.129966E-02   6.607306E-03   3.830882E-03   1.200232E-03   2.557493E-04   2.376507E-02   6.252821E-03   3.399047E-03   9.358611E-04   1.923437E-04
   7.400   2.795091E-02   6.468980E-03   3.823662E-03   1.260667E-03   2.953022E-04   2.106754E-02   6.050524E-03   3.350911E-03   9.752785E-04   2.213702E-04
