 Z= 105 A= 231  Db beta2= 0.00 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   3.400   8.452365E-02   4.514540E-06   3.473314E-06  -1.436659E-06   4.635268E-07   6.860442E-02  -2.675739E-05   1.559751E-05  -1.140973E-06  -6.968041E-07
   3.500   8.477637E-02   3.868157E-06   4.813152E-06  -1.783265E-06   4.835835E-07   6.856971E-02  -2.549281E-05   1.525079E-05  -1.040891E-06  -7.076377E-07
   3.600   8.500660E-02   2.669463E-06   6.291045E-06  -2.122128E-06   4.949685E-07   6.844625E-02  -2.379671E-05   1.480376E-05  -9.775552E-07  -6.938437E-07
   3.700   8.518374E-02   1.008421E-06   7.850647E-06  -2.439573E-06   4.960199E-07   6.825212E-02  -2.185737E-05   1.431790E-05  -9.716644E-07  -6.503198E-07
   3.800   8.528247E-02  -9.986483E-07   9.427402E-06  -2.721932E-06   4.853012E-07   6.800730E-02  -1.988111E-05   1.386276E-05  -1.044701E-06  -5.721687E-07
   3.900   8.528419E-02  -3.218336E-06   1.095309E-05  -2.956539E-06   4.617444E-07   6.773269E-02  -1.808259E-05   1.351329E-05  -1.218016E-06  -4.549164E-07
   4.000   8.517807E-02  -5.511337E-06   1.236125E-05  -3.132841E-06   4.248009E-07   6.744906E-02  -1.667490E-05   1.334693E-05  -1.511884E-06  -2.947353E-07
   4.100   8.496138E-02  -7.744726E-06   1.359316E-05  -3.243532E-06   3.745781E-07   6.717615E-02  -1.586031E-05   1.344069E-05  -1.944547E-06  -8.867148E-08
   4.200   8.463925E-02  -9.804404E-06   1.460378E-05  -3.285628E-06   3.119745E-07   6.693165E-02  -1.582177E-05   1.386825E-05  -2.531316E-06   1.651588E-07
   4.300   8.422371E-02  -1.160661E-05   1.536731E-05  -3.261373E-06   2.387696E-07   6.673047E-02  -1.671571E-05   1.469730E-05  -3.283744E-06   4.673853E-07
   4.400   8.373227E-02  -1.310747E-05   1.588165E-05  -3.178862E-06   1.576721E-07   6.658388E-02  -1.866622E-05   1.598694E-05  -4.208919E-06   8.172402E-07
   4.500   8.318595E-02  -1.430953E-05   1.617127E-05  -3.052309E-06   7.231903E-08   6.649883E-02  -2.176076E-05   1.778549E-05  -5.308913E-06   1.212469E-06
   4.600   8.260703E-02  -1.526465E-05   1.628820E-05  -2.901860E-06  -1.280502E-08   6.647743E-02  -2.604739E-05   2.012844E-05  -6.580399E-06   1.649281E-06
   4.700   8.201667E-02  -1.607252E-05   1.631063E-05  -2.752915E-06  -9.250886E-08   6.651644E-02  -3.153347E-05   2.303666E-05  -8.014450E-06   2.122373E-06
   4.800   8.143260E-02  -1.687492E-05   1.633919E-05  -2.634961E-06  -1.611125E-07   6.660705E-02  -3.818569E-05   2.651505E-05  -9.596546E-06   2.625010E-06
   4.900   8.086690E-02  -1.784569E-05   1.649093E-05  -2.579955E-06  -2.127218E-07   6.673474E-02  -4.593133E-05   3.055130E-05  -1.130679E-05   3.149171E-06
   5.000   8.032440E-02  -1.917735E-05   1.689144E-05  -2.620329E-06  -2.415565E-07   6.687944E-02  -5.466053E-05   3.511518E-05  -1.312029E-05   3.685758E-06
   5.100   7.980141E-02  -2.106512E-05   1.766553E-05  -2.786775E-06  -2.422980E-07   6.701593E-02  -6.422950E-05   4.015816E-05  -1.500780E-05   4.224866E-06
   5.200   7.928528E-02  -2.368967E-05   1.892722E-05  -3.105938E-06  -2.104550E-07   6.711449E-02  -7.446458E-05   4.561354E-05  -1.693645E-05   4.756087E-06
   5.300   7.875457E-02  -2.720020E-05   2.076986E-05  -3.598215E-06  -1.426950E-07   6.714187E-02  -8.516688E-05   5.139718E-05  -1.887068E-05   5.268860E-06
   5.400   7.817998E-02  -3.169906E-05   2.325729E-05  -4.275843E-06  -3.713654E-08   6.706244E-02  -9.611767E-05   5.740884E-05  -2.077326E-05   5.752824E-06
   5.500   7.752593E-02  -3.722951E-05   2.641660E-05  -5.141427E-06   1.064332E-07   6.683968E-02  -1.070843E-04   6.353423E-05  -2.260642E-05   6.198174E-06
   5.600   7.675268E-02  -4.376755E-05   3.023345E-05  -6.187075E-06   2.864402E-07   6.643779E-02  -1.178265E-04   6.964778E-05  -2.433297E-05   6.596009E-06
   5.700   7.581887E-02  -5.121880E-05   3.465019E-05  -7.394203E-06   4.995026E-07   6.582333E-02  -1.281033E-04   7.561611E-05  -2.591748E-05   6.938625E-06
   5.800   7.468428E-02  -5.942062E-05   3.956715E-05  -8.734074E-06   7.405232E-07   6.496701E-02  -1.376798E-04   8.130210E-05  -2.732733E-05   7.219768E-06
   5.900   7.331254E-02  -6.814942E-05   4.484693E-05  -1.016903E-05   1.002899E-06   6.384523E-02  -1.463345E-04   8.656944E-05  -2.853376E-05   7.434820E-06
   6.000   7.167371E-02  -7.713265E-05   5.032159E-05  -1.165435E-05   1.278819E-06   6.244150E-02  -1.538662E-04   9.128748E-05  -2.951271E-05   7.580912E-06
   6.100   6.974647E-02  -8.606442E-05   5.580194E-05  -1.314062E-05   1.559642E-06   6.074759E-02  -1.601005E-04   9.533619E-05  -3.024553E-05   7.656961E-06
   6.200   6.751978E-02  -9.462360E-05   6.108847E-05  -1.457639E-05   1.836330E-06   5.876418E-02  -1.648955E-04   9.861078E-05  -3.071951E-05   7.663639E-06
   6.300   6.499386E-02  -1.024929E-04   6.598287E-05  -1.591097E-05   2.099906E-06   5.650120E-02  -1.681469E-04   1.010260E-04  -3.092820E-05   7.603262E-06
   6.400   6.218054E-02  -1.093776E-04   7.029940E-05  -1.709720E-05   2.341894E-06   5.397768E-02  -1.697911E-04   1.025198E-04  -3.087144E-05   7.479628E-06
   6.500   5.910285E-02  -1.150219E-04   7.387526E-05  -1.809387E-05   2.554737E-06   5.122103E-02  -1.698076E-04   1.030555E-04  -3.055528E-05   7.297809E-06
   6.600   5.579401E-02  -1.192234E-04   7.657915E-05  -1.886780E-05   2.732142E-06   4.826608E-02  -1.682193E-04   1.026236E-04  -2.999162E-05   7.063901E-06
   6.700   5.229582E-02  -1.218423E-04   7.831765E-05  -1.939528E-05   2.869338E-06   4.515359E-02  -1.650910E-04   1.012418E-04  -2.919763E-05   6.784763E-06
   6.800   4.865663E-02  -1.228071E-04   7.903885E-05  -1.966298E-05   2.963250E-06   4.192864E-02  -1.605261E-04   9.895416E-05  -2.819509E-05   6.467748E-06
   6.900   4.492908E-02  -1.221156E-04   7.873335E-05  -1.966810E-05   3.012556E-06   3.863871E-02  -1.546622E-04   9.582852E-05  -2.700952E-05   6.120446E-06
   7.000   4.116765E-02  -1.198313E-04   7.743263E-05  -1.941801E-05   3.017656E-06   3.533183E-02  -1.476653E-04   9.195364E-05  -2.566928E-05   5.750437E-06
   7.100   3.742629E-02  -1.160766E-04   7.520503E-05  -1.892924E-05   2.980538E-06   3.205475E-02  -1.397223E-04   8.743492E-05  -2.420453E-05   5.365084E-06
   7.200   3.375630E-02  -1.110223E-04   7.214994E-05  -1.822606E-05   2.904574E-06   2.885125E-02  -1.310339E-04   8.238979E-05  -2.264629E-05   4.971347E-06
   7.300   3.020440E-02  -1.048760E-04   6.839066E-05  -1.733879E-05   2.794260E-06   2.576073E-02  -1.218064E-04   7.694274E-05  -2.102543E-05   4.575642E-06
   7.400   2.681125E-02  -9.786862E-05   6.406650E-05  -1.630185E-05   2.654914E-06   2.281707E-02  -1.122447E-04   7.122033E-05  -1.937182E-05   4.183731E-06
   7.500   2.361043E-02  -9.024154E-05   5.932485E-05  -1.515181E-05   2.492368E-06   2.004792E-02  -1.025450E-04   6.534655E-05  -1.771352E-05   3.800652E-06
   7.600   2.062779E-02  -8.223423E-05   5.431354E-05  -1.392558E-05   2.312653E-06   1.747422E-02  -9.288887E-05   5.943854E-05  -1.607612E-05   3.430678E-06
   7.700   1.788135E-02  -7.407357E-05   4.917414E-05  -1.265869E-05   2.121726E-06   1.511021E-02  -8.343846E-05   5.360311E-05  -1.448220E-05   3.077309E-06
   7.800   1.538147E-02  -6.596508E-05   4.403640E-05  -1.138396E-05   1.925218E-06   1.296359E-02  -7.433291E-05   4.793397E-05  -1.295103E-05   2.743285E-06
   7.900   1.313143E-02  -5.808657E-05   3.901403E-05  -1.013040E-05   1.728243E-06   1.103610E-02  -6.568619E-05   4.250990E-05  -1.149830E-05   2.430621E-06
   8.000   1.112821E-02  -5.058413E-05   3.420194E-05  -8.922494E-06   1.535252E-06   9.324183E-03  -5.758628E-05   3.739375E-05  -1.013613E-05   2.140662E-06
   8.100   9.363500E-03  -4.357041E-05   2.967485E-05  -7.779848E-06   1.349940E-06   7.819825E-03  -5.009552E-05   3.263228E-05  -8.873089E-06   1.874140E-06
   8.200   7.824736E-03  -3.712491E-05   2.548724E-05  -6.717078E-06   1.175216E-06   6.511484E-03  -4.325201E-05   2.825669E-05  -7.714438E-06   1.631248E-06
   8.300   6.496187E-03  -3.129605E-05   2.167423E-05  -5.744019E-06   1.013200E-06   5.385001E-03  -3.707191E-05   2.428381E-05  -6.662407E-06   1.411713E-06
   8.400   5.359998E-03  -2.610435E-05   1.825344E-05  -4.866121E-06   8.652730E-07   4.424489E-03  -3.155222E-05   2.071767E-05  -5.716562E-06   1.214872E-06
   8.500   4.397143E-03  -2.154664E-05   1.522730E-05  -4.084991E-06   7.321475E-07   3.613139E-03  -2.667404E-05   1.755139E-05  -4.874215E-06   1.039746E-06
   8.600   3.588243E-03  -1.760057E-05   1.258576E-05  -3.399035E-06   6.139603E-07   2.933927E-03  -2.240585E-05   1.476927E-05  -4.130850E-06   8.851142E-07
   8.700   2.914256E-03  -1.422924E-05   1.030909E-05  -2.804123E-06   5.103745E-07   2.370186E-03  -1.870687E-05   1.234884E-05  -3.480555E-06   7.495783E-07
   8.800   2.357008E-03  -1.138572E-05   8.370587E-06  -2.294256E-06   4.206855E-07   1.906066E-03  -1.553007E-05   1.026285E-05  -2.916427E-06   6.316258E-07
   8.900   1.899576E-03  -9.016951E-06   6.739076E-06  -1.862181E-06   3.439219E-07   1.526851E-03  -1.282495E-05   8.481071E-06  -2.430951E-06   5.296834E-07
   9.000   1.526547E-03  -7.067279E-06   5.381095E-06  -1.499939E-06   2.789392E-07   1.219179E-03  -1.053988E-05   6.971913E-06  -2.016328E-06   4.421648E-07
   9.100   1.224147E-03  -5.481195E-06   4.262697E-06  -1.199322E-06   2.245006E-07   9.711411E-04  -8.624034E-06   5.703718E-06  -1.664755E-06   3.675104E-07
   9.200   9.802812E-04  -4.205490E-06   3.350867E-06  -9.522412E-07   1.793446E-07   7.723163E-04  -7.028819E-06   4.645812E-06  -1.368649E-06   3.042188E-07
   9.300   7.844966E-04  -3.190762E-06   2.614555E-06  -7.510031E-07   1.422378E-07   6.137261E-04  -5.708954E-06   3.769281E-06  -1.120822E-06   2.508720E-07
   9.400   6.278880E-04  -2.392375E-06   2.025364E-06  -5.884981E-07   1.120142E-07   4.877499E-04  -4.623136E-06   3.047499E-06  -9.146000E-07   2.061528E-07
   9.500   5.029685E-04  -1.770934E-06   1.557945E-06  -4.583176E-07   8.760128E-08   3.880059E-04  -3.734401E-06   2.456436E-06  -7.439042E-07   1.688566E-07
   9.600   4.035180E-04  -1.292392E-06   1.190137E-06  -3.548072E-07   6.803609E-08   3.092159E-04  -3.010212E-06   1.974799E-06  -6.032863E-07   1.378967E-07
   9.700   3.244253E-04  -9.278743E-07   9.029310E-07  -2.730722E-07   5.247124E-08   2.470633E-04  -2.422355E-06   1.584008E-06  -4.879371E-07   1.123060E-07
   9.800   2.615309E-04  -6.533072E-07   6.802914E-07  -2.089464E-07   4.017467E-08   1.980534E-04  -1.946692E-06   1.268092E-06  -3.936684E-07   9.123426E-08
   9.900   2.114787E-04  -4.489302E-07   5.088985E-07  -1.589376E-07   3.052409E-08   1.593830E-04  -1.562812E-06   1.013487E-06  -3.168770E-07   7.394213E-08
  10.000   1.715819E-04  -2.987530E-07   3.778378E-07  -1.201579E-07   2.299814E-08   1.288209E-04  -1.253642E-06   8.088125E-07  -2.544974E-07   5.979369E-08
  10.100   1.397025E-04  -1.900029E-07   2.782757E-07  -9.024795E-08   1.716559E-08   1.046040E-04  -1.005030E-06   6.446103E-07  -2.039468E-07   4.824719E-08
  10.200   1.141491E-04  -1.125968E-07   2.031407E-07  -6.730083E-08   1.267382E-08   8.534685E-05  -8.053394E-07   5.130904E-07  -1.630680E-07   3.884514E-08
  10.300   9.358892E-05  -5.865974E-08   1.468265E-07  -4.978952E-08   9.237311E-09   6.996605E-05  -6.450664E-07   4.078845E-07  -1.300725E-07   3.120427E-08
  10.400   7.697559E-05  -2.210092E-08   1.049256E-07  -3.650093E-08   6.626858E-09   5.761783E-05  -5.164938E-07   3.238178E-07  -1.034869E-07   2.500568E-08
  10.500   6.348931E-05   1.748529E-09   7.399851E-08  -2.647778E-08   4.659770E-09   4.764689E-05  -4.133816E-07   2.567067E-07  -8.210350E-08   1.998558E-08
  10.600   5.248874E-05   1.643758E-08   5.137715E-08  -1.896878E-08   3.191288E-09   3.954540E-05  -3.307022E-07   2.031810E-07  -6.493597E-08   1.592681E-08
  10.700   4.347241E-05   2.464180E-08   3.500344E-08  -1.338690E-08   2.107255E-09   3.292034E-05  -2.644139E-07   1.605327E-07  -5.118125E-08   1.265122E-08
