 Z=  99 A= 227  Es beta2= 0.01 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   3.400   8.675850E-02   1.404042E-05   7.009167E-06  -1.799351E-06  -3.740081E-07   6.655438E-02   1.725138E-04  -3.587534E-05   5.400960E-06   8.771168E-07
   3.500   8.704887E-02   8.121871E-06   7.610121E-06  -1.712698E-06  -4.048237E-07   6.640628E-02   1.943339E-04  -3.845874E-05   5.219124E-06   9.432127E-07
   3.600   8.730233E-02   4.386711E-06   7.918441E-06  -1.599382E-06  -4.322952E-07   6.618922E-02   2.115194E-04  -4.024582E-05   4.941545E-06   1.000059E-06
   3.700   8.748798E-02   2.787648E-06   7.937759E-06  -1.463119E-06  -4.554677E-07   6.592452E-02   2.232949E-04  -4.115808E-05   4.572765E-06   1.045318E-06
   3.800   8.758098E-02   3.107532E-06   7.686798E-06  -1.308579E-06  -4.734781E-07   6.563430E-02   2.291463E-04  -4.114943E-05   4.120678E-06   1.076894E-06
   3.900   8.756402E-02   4.989933E-06   7.197404E-06  -1.141098E-06  -4.856065E-07   6.534036E-02   2.288457E-04  -4.020939E-05   3.596416E-06   1.093036E-06
   4.000   8.742817E-02   7.982402E-06   6.511486E-06  -9.663444E-07  -4.913199E-07   6.506305E-02   2.224649E-04  -3.836494E-05   3.014101E-06   1.092441E-06
   4.100   8.717302E-02   1.158915E-05   5.676975E-06  -7.899289E-07  -4.902910E-07   6.482043E-02   2.103743E-04  -3.568106E-05   2.390477E-06   1.074350E-06
   4.200   8.680621E-02   1.532885E-05   4.743156E-06  -6.169912E-07  -4.824255E-07   6.462733E-02   1.932307E-04  -3.225970E-05   1.744441E-06   1.038607E-06
   4.300   8.634234E-02   1.879291E-05   3.755756E-06  -4.518182E-07  -4.678518E-07   6.449470E-02   1.719521E-04  -2.823724E-05   1.096445E-06   9.857194E-07
   4.400   8.580125E-02   2.169924E-05   2.752150E-06  -2.974692E-07  -4.469310E-07   6.442903E-02   1.476841E-04  -2.378039E-05   4.678419E-07   9.168537E-07
   4.500   8.520593E-02   2.393650E-05   1.757280E-06  -1.555326E-07  -4.202146E-07   6.443185E-02   1.217560E-04  -1.908049E-05  -1.198869E-07   8.338378E-07
   4.600   8.458020E-02   2.559477E-05   7.806160E-07  -2.597189E-08  -3.884211E-07   6.449946E-02   9.562906E-05  -1.434637E-05  -6.459420E-07   7.391022E-07
   4.700   8.394615E-02   2.697881E-05  -1.854359E-07   9.289097E-08  -3.523841E-07   6.462271E-02   7.083862E-05  -9.795906E-06  -1.091046E-06   6.356045E-07
   4.800   8.332180E-02   2.860194E-05  -1.165425E-06   2.042411E-07  -3.130059E-07   6.478702E-02   4.893059E-05  -5.646594E-06  -1.438284E-06   5.267162E-07
   4.900   8.271896E-02   3.115970E-05  -2.198969E-06   3.124922E-07  -2.712074E-07   6.497255E-02   3.139460E-05  -2.105495E-06  -1.673896E-06   4.160850E-07
   5.000   8.214155E-02   3.548433E-05  -3.337192E-06   4.229022E-07  -2.278830E-07   6.515461E-02   1.959597E-05   6.409365E-07  -1.787968E-06   3.074758E-07
   5.100   8.158456E-02   4.248273E-05  -4.637681E-06   5.410577E-07  -1.838475E-07   6.530425E-02   1.470879E-05   2.436615E-06  -1.775019E-06   2.046098E-07
   5.200   8.103358E-02   5.306235E-05  -6.158474E-06   6.723495E-07  -1.398210E-07   6.538913E-02   1.765365E-05   3.164527E-06  -1.634368E-06   1.109807E-07
   5.300   8.046523E-02   6.805061E-05  -7.951538E-06   8.214148E-07  -9.639685E-08   6.537461E-02   2.904295E-05   2.753812E-06  -1.370317E-06   2.969845E-08
   5.400   7.984819E-02   8.811448E-05  -1.005639E-05   9.916342E-07  -5.404232E-08   6.522503E-02   4.913772E-05   1.184651E-06  -9.920800E-07  -3.666489E-08
   5.500   7.914493E-02   1.136871E-04  -1.249447E-05   1.184726E-06  -1.310245E-08   6.490520E-02   7.781905E-05  -1.509475E-06  -5.134613E-07  -8.619678E-08
   5.600   7.831404E-02   1.449081E-04  -1.526482E-05   1.400457E-06   2.618644E-08   6.438198E-02   1.145773E-04  -5.242439E-06   4.770729E-08  -1.177311E-07
   5.700   7.731289E-02   1.815831E-04  -1.834154E-05   1.636530E-06   6.367173E-08   6.362584E-02   1.585208E-04  -9.879119E-06   6.703635E-07  -1.308977E-07
   5.800   7.610047E-02   2.231669E-04  -2.167325E-05   1.888629E-06   9.925298E-08   6.261248E-02   2.084055E-04  -1.524191E-05   1.331183E-06  -1.261296E-07
   5.900   7.464025E-02   2.687723E-04  -2.518474E-05   2.150630E-06   1.328593E-07   6.132416E-02   2.626848E-04  -2.111978E-05   2.005682E-06  -1.046199E-07
   6.000   7.290277E-02   3.172048E-04  -2.878060E-05   2.414970E-06   1.644176E-07   5.975087E-02   3.195770E-04  -2.727921E-05   2.669376E-06  -6.824505E-08
   6.100   7.086783E-02   3.670206E-04  -3.235058E-05   2.673124E-06   1.938308E-07   5.789112E-02   3.771485E-04  -3.347651E-05   3.298932E-06  -1.944912E-08
   6.200   6.852608E-02   4.166044E-04  -3.577622E-05   2.916156E-06   2.209690E-07   5.575240E-02   4.334062E-04  -3.947042E-05   3.873227E-06   3.890295E-08
   6.300   6.587995E-02   4.642599E-04  -3.893819E-05   3.135304E-06   2.456569E-07   5.335106E-02   4.863950E-04  -4.503441E-05   4.374269E-06   1.036825E-07
   6.400   6.294385E-02   5.083079E-04  -4.172364E-05   3.322535E-06   2.676860E-07   5.071194E-02   5.342926E-04  -4.996773E-05   4.787898E-06   1.716716E-07
   6.500   5.974364E-02   5.471816E-04  -4.403316E-05   3.471043E-06   2.868198E-07   4.786740E-02   5.754972E-04  -5.410451E-05   5.104262E-06   2.397240E-07
   6.600   5.631537E-02   5.795155E-04  -4.578654E-05   3.575641E-06   3.028146E-07   4.485606E-02   6.087011E-04  -5.732042E-05   5.318014E-06   3.049189E-07
   6.700   5.270362E-02   6.042181E-04  -4.692713E-05   3.633027E-06   3.154410E-07   4.172128E-02   6.329462E-04  -5.953661E-05   5.428262E-06   3.646886E-07
   6.800   4.895922E-02   6.205260E-04  -4.742450E-05   3.641917E-06   3.245083E-07   3.850934E-02   6.476580E-04  -6.072069E-05   5.438268E-06   4.169188E-07
   6.900   4.513688E-02   6.280351E-04  -4.727515E-05   3.603031E-06   3.298843E-07   3.526762E-02   6.526567E-04  -6.088499E-05   5.354951E-06   4.600125E-07
   7.000   4.129266E-02   6.267077E-04  -4.650151E-05   3.518951E-06   3.315161E-07   3.204273E-02   6.481455E-04  -6.008241E-05   5.188224E-06   4.929230E-07
   7.100   3.748155E-02   6.168572E-04  -4.514937E-05   3.393876E-06   3.294416E-07   2.887886E-02   6.346787E-04  -5.840024E-05   4.950234E-06   5.151493E-07
   7.200   3.375526E-02   5.991123E-04  -4.328399E-05   3.233294E-06   3.237971E-07   2.581625E-02   6.131111E-04  -5.595266E-05   4.654558E-06   5.267039E-07
   7.300   3.016035E-02   5.743644E-04  -4.098536E-05   3.043601E-06   3.148156E-07   2.289000E-02   5.845359E-04  -5.287244E-05   4.315411E-06   5.280538E-07
   7.400   2.673682E-02   5.437043E-04  -3.834305E-05   2.831712E-06   3.028198E-07   2.012920E-02   5.502131E-04  -4.930253E-05   3.946912E-06   5.200437E-07
   7.500   2.351716E-02   5.083523E-04  -3.545091E-05   2.604676E-06   2.882085E-07   1.755640E-02   5.114964E-04  -4.538810E-05   3.562446E-06   5.038077E-07
   7.600   2.052579E-02   4.695883E-04  -3.240222E-05   2.369328E-06   2.714386E-07   1.518748E-02   4.697615E-04  -4.126936E-05   3.174161E-06   4.806762E-07
   7.700   1.777907E-02   4.286850E-04  -2.928538E-05   2.132002E-06   2.530035E-07   1.303174E-02   4.263413E-04  -3.707581E-05   2.792590E-06   4.520843E-07
   7.800   1.528559E-02   3.868499E-04  -2.618040E-05   1.898305E-06   2.334115E-07   1.109240E-02   3.824709E-04  -3.292167E-05   2.426429E-06   4.194888E-07
   7.900   1.304687E-02   3.451779E-04  -2.315647E-05   1.672967E-06   2.131636E-07   9.367181E-03   3.392445E-04  -2.890307E-05   2.082441E-06   3.842952E-07
   8.000   1.105825E-02   3.046161E-04  -2.027031E-05   1.459762E-06   1.927336E-07   7.849174E-03   2.975863E-04  -2.509645E-05   1.765480E-06   3.477995E-07
   8.100   9.309895E-03   2.659425E-04  -1.756563E-05   1.261488E-06   1.725520E-07   6.527685E-03   2.582341E-04  -2.155849E-05   1.478613E-06   3.111461E-07
   8.200   7.787960E-03   2.297561E-04  -1.507327E-05   1.080012E-06   1.529927E-07   5.389183E-03   2.217352E-04  -1.832699E-05   1.223311E-06   2.752998E-07
   8.300   6.475678E-03   1.964790E-04  -1.281206E-05   9.163504E-07   1.343649E-07   4.418197E-03   1.884534E-04  -1.542262E-05   9.996930E-07   2.410338E-07
   8.400   5.354414E-03   1.663676E-04  -1.079015E-05   7.707781E-07   1.169093E-07   3.598145E-03   1.585846E-04  -1.285129E-05   8.067872E-07   2.089294E-07
   8.500   4.404609E-03   1.395303E-04  -9.006678E-06   6.429608E-07   1.007978E-07   2.912074E-03   1.321781E-04  -1.060680E-05   6.427976E-07   1.793858E-07
   8.600   3.606576E-03   1.159501E-04  -7.453543E-06   5.320881E-07   8.613713E-08   2.343268E-03   1.091618E-04  -8.673603E-06   5.053570E-07   1.526383E-07
   8.700   2.941160E-03   9.550954E-05  -6.117217E-06   4.370043E-07   7.297469E-08   1.875733E-03   8.936919E-05  -7.029409E-06   3.917535E-07   1.287812E-07
   8.800   2.390226E-03   7.801565E-05  -4.980443E-06   3.563291E-07   6.130699E-08   1.494559E-03   7.256512E-05  -5.647644E-06   2.991233E-07   1.077926E-07
   8.900   1.937012E-03   6.322391E-05  -4.023740E-06   2.885615E-07   5.108844E-08   1.186153E-03   5.847054E-05  -4.499513E-06   2.246060E-07   8.956071E-08
   9.000   1.566338E-03   5.085951E-05  -3.226687E-06   2.321669E-07   4.224110E-08   9.383715E-04   4.678356E-05  -3.555702E-06   1.654624E-07   7.390838E-08
   9.100   1.264712E-03   4.063541E-05  -2.568938E-06   1.856435E-07   3.466380E-08   7.405627E-04   3.719715E-05  -2.787699E-06   1.191563E-07   6.061563E-08
   9.200   1.020338E-03   3.226683E-05  -2.030993E-06   1.475724E-07   2.824063E-08   5.835396E-04   2.941291E-05  -2.168734E-06   8.340577E-08   4.943877E-08
   9.300   8.230555E-04   2.548213E-05  -1.594728E-06   1.166497E-07   2.284841E-08   4.594992E-04   2.315103E-05  -1.674397E-06   5.620769E-08   4.012619E-08
   9.400   6.642290E-04   2.003028E-05  -1.243726E-06   9.170565E-08   1.836284E-08   3.619076E-04   1.815690E-05  -1.282967E-06   3.584185E-08   3.243058E-08
   9.500   5.366103E-04   1.568543E-05  -9.634341E-07   7.171151E-08   1.466327E-08   2.853649E-04   1.420464E-05  -9.755260E-07   2.086008E-08   2.611776E-08
   9.600   4.341807E-04   1.224893E-05  -7.411932E-07   5.577875E-08   1.163628E-08   2.254614E-04   1.109829E-05  -7.359041E-07   1.006493E-08   2.097258E-08
   9.700   3.519921E-04   9.549556E-06  -5.661720E-07   4.315154E-08   9.177923E-09   1.786351E-04   8.671220E-06  -5.505082E-07   2.482596E-09   1.680222E-08
   9.800   2.860111E-04   7.442301E-06  -4.292353E-07   3.319551E-08   7.195158E-09   1.420366E-04   6.784173E-06  -4.080798E-07  -2.666977E-09   1.343759E-08
   9.900   2.329751E-04   5.806244E-06  -3.227767E-07   2.538444E-08   5.606232E-09   1.134069E-04   5.322633E-06  -2.994170E-07  -5.999921E-09   1.073310E-08
  10.000   1.902616E-04   4.541944E-06  -2.405337E-07   1.928620E-08   4.340563E-09   9.096790E-05   4.193725E-06  -2.170873E-07  -7.996700E-09   8.565413E-09
  10.100   1.557744E-04   3.568624E-06  -1.774022E-07   1.454894E-08   3.338122E-09   7.332975E-05   3.323058E-06  -1.551505E-07  -9.027574E-09   6.831515E-09
