 Z= 101 A= 227  Md beta2= 0.01 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   3.400   8.583251E-02   1.176068E-05   1.419452E-05  -5.308587E-06  -3.660127E-07   6.755431E-02   3.055063E-04  -1.091240E-04   1.481402E-05   9.070123E-07
   3.500   8.609440E-02   4.513171E-08   1.519704E-05  -5.213094E-06  -3.931914E-07   6.744544E-02   3.249850E-04  -1.142298E-04   1.462209E-05   9.841766E-07
   3.600   8.632547E-02  -9.744431E-06   1.553129E-05  -5.048945E-06  -4.164773E-07   6.726253E-02   3.391799E-04  -1.173116E-04   1.419225E-05   1.053652E-06
   3.700   8.649480E-02  -1.747181E-05   1.521933E-05  -4.821972E-06  -4.349217E-07   6.702595E-02   3.473516E-04  -1.182154E-04   1.352830E-05   1.112831E-06
   3.800   8.657740E-02  -2.313863E-05   1.431990E-05  -4.540363E-06  -4.477079E-07   6.675713E-02   3.490053E-04  -1.168640E-04   1.264218E-05   1.159207E-06
   3.900   8.655568E-02  -2.686861E-05   1.292298E-05  -4.214165E-06  -4.541953E-07   6.647757E-02   3.439194E-04  -1.132637E-04   1.155388E-05   1.190501E-06
   4.000   8.642030E-02  -2.888234E-05   1.114151E-05  -3.854568E-06  -4.539816E-07   6.620769E-02   3.321626E-04  -1.075077E-04   1.029120E-05   1.204765E-06
   4.100   8.617041E-02  -2.946451E-05   9.100573E-06  -3.473062E-06  -4.469371E-07   6.596591E-02   3.140971E-04  -9.977714E-05   8.889102E-06   1.200502E-06
   4.200   8.581312E-02  -2.892656E-05   6.924973E-06  -3.080524E-06  -4.332218E-07   6.576777E-02   2.903699E-04  -9.033819E-05   7.388813E-06   1.176773E-06
   4.300   8.536246E-02  -2.756782E-05   4.726139E-06  -2.686277E-06  -4.132991E-07   6.562514E-02   2.618915E-04  -7.953569E-05   5.836684E-06   1.133272E-06
   4.400   8.483763E-02  -2.563837E-05   2.589663E-06  -2.297260E-06  -3.879052E-07   6.554559E-02   2.298035E-04  -6.778339E-05   4.282716E-06   1.070402E-06
   4.500   8.426094E-02  -2.330708E-05   5.646133E-07  -1.917345E-06  -3.580237E-07   6.553185E-02   1.954347E-04  -5.555050E-05   2.778889E-06   9.893018E-07
   4.600   8.365538E-02  -2.063758E-05  -1.344154E-06  -1.546923E-06  -3.248144E-07   6.558141E-02   1.602501E-04  -4.334506E-05   1.377285E-06   8.918548E-07
   4.700   8.304216E-02  -1.757466E-05  -3.179749E-06  -1.182778E-06  -2.895470E-07   6.568629E-02   1.257911E-04  -3.169426E-05   1.280707E-07   7.806505E-07
   4.800   8.243831E-02  -1.394245E-05  -5.032419E-06  -8.183310E-07  -2.535121E-07   6.583298E-02   9.361116E-05  -2.112261E-05  -9.225773E-07   6.589160E-07
   4.900   8.185460E-02  -9.455316E-06  -7.033914E-06  -4.442012E-07  -2.179307E-07   6.600253E-02   6.520864E-05  -1.212865E-05  -1.734513E-06   5.304085E-07
   5.000   8.129390E-02  -3.740611E-06  -9.347277E-06  -4.910323E-08  -1.838741E-07   6.617094E-02   4.195908E-05  -5.161363E-06  -2.275532E-06   3.992707E-07
   5.100   8.075017E-02   3.627961E-06  -1.215278E-05   3.790293E-07  -1.521901E-07   6.630976E-02   2.505059E-05  -5.974599E-07  -2.523031E-06   2.698604E-07
   5.200   8.020812E-02   1.308911E-05  -1.563108E-05   8.517600E-07  -1.234520E-07   6.638691E-02   1.542513E-05   1.279002E-06  -2.465308E-06   1.465574E-07
   5.300   7.964366E-02   2.504811E-05  -1.994513E-05   1.378818E-06  -9.792299E-08   6.636775E-02   1.372900E-05   2.934212E-07  -2.102413E-06   3.356665E-08
   5.400   7.902504E-02   3.983039E-05  -2.522232E-05   1.966874E-06  -7.556045E-08   6.621646E-02   2.027573E-05  -3.607476E-06  -1.446448E-06  -6.528900E-08
   5.500   7.831465E-02   5.763848E-05  -3.153870E-05   2.618496E-06  -5.603738E-08   6.589746E-02   3.502398E-05  -1.034966E-05  -5.212796E-07  -1.467541E-07
   5.600   7.747135E-02   7.851654E-05  -3.890658E-05   3.331417E-06  -3.878736E-08   6.537702E-02   5.757246E-05  -1.973244E-05   6.383522E-07  -2.083001E-07
   5.700   7.645315E-02   1.023256E-04  -4.726700E-05   4.098182E-06  -2.308055E-08   6.462496E-02   8.717316E-05  -3.143602E-05   1.988319E-06  -2.482577E-07
   5.800   7.522004E-02   1.287326E-04  -5.648750E-05   4.906218E-06  -8.096593E-09   6.361614E-02   1.227627E-04  -4.503574E-05   3.477098E-06  -2.658904E-07
   5.900   7.373682E-02   1.572134E-04  -6.636595E-05   5.738315E-06   6.980109E-09   6.233197E-02   1.630111E-04  -6.002231E-05   5.048177E-06  -2.614311E-07
   6.000   7.197556E-02   1.870720E-04  -7.663974E-05   6.573502E-06   2.288582E-08   6.076155E-02   2.063844E-04  -7.582689E-05   6.642727E-06  -2.360507E-07
   6.100   6.991771E-02   2.174725E-04  -8.699994E-05   7.388233E-06   4.019489E-08   5.890253E-02   2.512199E-04  -9.184944E-05   8.202381E-06  -1.917891E-07
   6.200   6.755563E-02   2.474827E-04  -9.710911E-05   8.157782E-06   5.927190E-08   5.676154E-02   2.958069E-04  -1.074886E-04   9.671948E-06  -1.314247E-07
   6.300   6.489333E-02   2.761264E-04  -1.066214E-04   8.857745E-06   8.023218E-08   5.435422E-02   3.384702E-04  -1.221712E-04   1.100189E-05  -5.831599E-08
   6.400   6.194664E-02   3.024385E-04  -1.152029E-04   9.465517E-06   1.029329E-07   5.170478E-02   3.776499E-04  -1.353793E-04   1.215041E-05   2.378949E-08
   6.500   5.874254E-02   3.255209E-04  -1.225518E-04   9.961623E-06   1.269872E-07   4.884510E-02   4.119731E-04  -1.466734E-04   1.308504E-05   1.109609E-07
   6.600   5.531789E-02   3.445931E-04  -1.284147E-04   1.033083E-05   1.517976E-07   4.581351E-02   4.403135E-04  -1.557103E-04   1.378367E-05   1.992883E-07
   6.700   5.171768E-02   3.590346E-04  -1.326009E-04   1.056292E-05   1.766083E-07   4.265324E-02   4.618344E-04  -1.622546E-04   1.423489E-05   2.850767E-07
   6.800   4.799281E-02   3.684168E-04  -1.349906E-04   1.065316E-05   2.005686E-07   3.941061E-02   4.760144E-04  -1.661837E-04   1.443779E-05   3.650146E-07
   6.900   4.419768E-02   3.725208E-04  -1.355389E-04   1.060232E-05   2.228007E-07   3.613326E-02   4.826542E-04  -1.674862E-04   1.440119E-05   4.363096E-07
   7.000   4.038774E-02   3.713422E-04  -1.342754E-04   1.041645E-05   2.424678E-07   3.286821E-02   4.818648E-04  -1.662541E-04   1.414240E-05   4.967845E-07
   7.100   3.661711E-02   3.650820E-04  -1.312981E-04   1.010627E-05   2.588346E-07   2.966022E-02   4.740401E-04  -1.626700E-04   1.368560E-05   5.449303E-07
   7.200   3.293643E-02   3.541262E-04  -1.267646E-04   9.686343E-06   2.713161E-07   2.655023E-02   4.598158E-04  -1.569906E-04   1.306007E-05   5.799158E-07
   7.300   2.939112E-02   3.390147E-04  -1.208800E-04   9.174128E-06   2.795126E-07   2.357410E-02   4.400182E-04  -1.495279E-04   1.229828E-05   6.015596E-07
   7.400   2.601998E-02   3.204047E-04  -1.138830E-04   8.588889E-06   2.832277E-07   2.076179E-02   4.156083E-04  -1.406285E-04   1.143404E-05   6.102666E-07
   7.500   2.285428E-02   2.990292E-04  -1.060317E-04   7.950660E-06   2.824712E-07   1.813670E-02   3.876229E-04  -1.306544E-04   1.050083E-05   6.069409E-07
