 Z= 106 A= 244  Sg beta2= 0.39 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   3.500   8.616292E-02  -1.772081E-04  -1.003728E-03   8.539245E-04   3.629953E-04   6.400621E-02  -4.494211E-04  -1.586645E-04  -1.018578E-03  -4.338489E-04
   3.600   8.599185E-02  -6.847583E-05  -1.175498E-03   6.813142E-04   3.647276E-04   6.401353E-02  -1.457693E-04  -1.294750E-04  -9.759343E-04  -4.708174E-04
   3.700   8.578784E-02   7.909816E-05  -1.298948E-03   4.944598E-04   3.589636E-04   6.402340E-02   1.494144E-04  -8.276915E-05  -9.141057E-04  -5.047978E-04
   3.800   8.556036E-02   2.610130E-04  -1.369619E-03   3.006050E-04   3.451412E-04   6.403977E-02   4.249505E-04  -1.986439E-05  -8.339796E-04  -5.348737E-04
   3.900   8.531885E-02   4.710650E-04  -1.385584E-03   1.077386E-04   3.229644E-04   6.406587E-02   6.712503E-04   5.680682E-05  -7.370005E-04  -5.601871E-04
   4.000   8.507194E-02   7.018375E-04  -1.347650E-03  -7.575918E-05   2.924621E-04   6.410383E-02   8.809035E-04   1.436908E-04  -6.251175E-04  -5.799569E-04
   4.100   8.482681E-02   9.453305E-04  -1.259446E-03  -2.415199E-04   2.540400E-04   6.415428E-02   1.049182E-03   2.361598E-04  -5.007220E-04  -5.934923E-04
   4.200   8.458852E-02   1.193693E-03  -1.127368E-03  -3.816217E-04   2.085191E-04   6.421610E-02   1.174435E-03   3.286191E-04  -3.665836E-04  -6.002008E-04
   4.300   8.435938E-02   1.440005E-03  -9.603901E-04  -4.890369E-04   1.571555E-04   6.428604E-02   1.258344E-03   4.146790E-04  -2.257896E-04  -5.995943E-04
   4.400   8.413841E-02   1.679050E-03  -7.697272E-04  -5.580684E-04   1.016335E-04   6.435859E-02   1.306030E-03   4.873941E-04  -8.169153E-05  -5.912929E-04
