 Z= 107 A= 247  Bh beta2= 0.36 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   3.500   8.652068E-02  -5.278348E-04  -6.831442E-04   6.812587E-04   2.251009E-04   6.407056E-02  -2.991533E-04  -3.396328E-04  -1.080735E-03  -3.875505E-04
   3.600   8.643060E-02  -4.891542E-04  -8.377934E-04   5.370879E-04   2.227530E-04   6.408055E-02   4.097496E-05  -2.980754E-04  -1.047786E-03  -4.225049E-04
   3.700   8.629947E-02  -3.966502E-04  -9.532306E-04   3.817920E-04   2.149609E-04   6.408508E-02   3.701664E-04  -2.379151E-04  -9.959549E-04  -4.553116E-04
   3.800   8.613208E-02  -2.528210E-04  -1.024734E-03   2.213739E-04   2.014484E-04   6.408918E-02   6.756525E-04  -1.608415E-04  -9.259942E-04  -4.851759E-04
   3.900   8.593431E-02  -6.307178E-05  -1.049585E-03   6.239429E-05   1.821574E-04   6.409750E-02   9.463777E-04  -6.957392E-05  -8.392145E-04  -5.113426E-04
   4.000   8.571266E-02   1.647188E-04  -1.027301E-03  -8.831343E-05   1.572834E-04   6.411383E-02   1.173605E-03   3.215579E-05  -7.374319E-04  -5.331116E-04
   4.100   8.547375E-02   4.208526E-04  -9.597856E-04  -2.239624E-04   1.273017E-04   6.414081E-02   1.351433E-03   1.396622E-04  -6.229042E-04  -5.498508E-04
   4.200   8.522360E-02   6.946483E-04  -8.513833E-04  -3.381529E-04   9.298379E-05   6.417947E-02   1.477199E-03   2.474114E-04  -4.982604E-04  -5.610034E-04
   4.300   8.496700E-02   9.754055E-04  -7.088099E-04  -4.252217E-04   5.539794E-05   6.422893E-02   1.551749E-03   3.491767E-04  -3.664332E-04  -5.660933E-04
   4.400   8.470676E-02   1.253426E-03  -5.409620E-04  -4.805818E-04   1.589252E-05   6.428607E-02   1.579560E-03   4.382509E-04  -2.305966E-04  -5.647293E-04
   4.500   8.444314E-02   1.521008E-03  -3.585893E-04  -5.010373E-04  -2.394219E-05   6.434534E-02   1.568692E-03   5.077127E-04  -9.411152E-05  -5.566094E-04
   4.600   8.417331E-02   1.773338E-03  -1.738309E-04  -4.850510E-04  -6.233485E-05   6.439862E-02   1.530579E-03   5.507481E-04   3.952029E-05  -5.415287E-04
   4.700   8.389096E-02   2.009184E-03   3.751549E-07  -4.329470E-04  -9.741684E-05   6.443528E-02   1.479632E-03   5.610162E-04   1.666980E-04  -5.193915E-04
   4.800   8.358620E-02   2.231335E-03   1.509903E-04  -3.470267E-04  -1.273270E-04   6.444231E-02   1.432692E-03   5.330476E-04   2.837644E-04  -4.902294E-04
   4.900   8.324563E-02   2.446725E-03   2.656508E-04  -2.315826E-04  -1.503329E-04   6.440462E-02   1.408315E-03   4.626540E-04   3.870561E-04  -4.542242E-04
   5.000   8.285273E-02   2.666222E-03   3.334773E-04  -9.279610E-05  -1.649623E-04   6.430550E-02   1.425941E-03   3.473256E-04   4.729686E-04  -4.117359E-04
