 Z= 108 A= 248  Hs beta2= 0.38 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   3.500   8.590096E-02  -3.545633E-04  -8.410585E-04   8.011211E-04   3.436813E-04   6.393825E-02  -4.684991E-04  -3.401606E-04  -1.008721E-03  -3.988028E-04
   3.600   8.575549E-02  -2.783404E-04  -1.009466E-03   6.353962E-04   3.443469E-04   6.396652E-02  -1.612360E-04  -3.173091E-04  -9.813571E-04  -4.337233E-04
   3.700   8.557602E-02  -1.571057E-04  -1.136530E-03   4.552562E-04   3.372482E-04   6.399366E-02   1.383447E-04  -2.741384E-04  -9.363358E-04  -4.659732E-04
   3.800   8.537094E-02   5.923703E-06  -1.217308E-03   2.674243E-04   3.217980E-04   6.402360E-02   4.188905E-04  -2.118953E-04  -8.741964E-04  -4.946922E-04
   3.900   8.514882E-02   2.052895E-04  -1.248985E-03   7.935965E-05   2.976875E-04   6.405971E-02   6.705738E-04  -1.330112E-04  -7.959776E-04  -5.190794E-04
   4.000   8.491781E-02   4.337388E-04  -1.231123E-03  -1.010538E-04   2.649421E-04   6.410447E-02   8.856646E-04  -4.110647E-05  -7.031704E-04  -5.384123E-04
   4.100   8.468498E-02   6.828449E-04  -1.165827E-03  -2.658634E-04   2.239679E-04   6.415912E-02   1.059024E-03   5.905828E-05  -5.976623E-04  -5.520589E-04
   4.200   8.445563E-02   9.437673E-04  -1.057794E-03  -4.074353E-04   1.755870E-04   6.422327E-02   1.188496E-03   1.616862E-04  -4.816796E-04  -5.594833E-04
   4.300   8.423271E-02   1.208097E-03  -9.142375E-04  -5.188583E-04   1.210525E-04   6.429466E-02   1.275172E-03   2.601107E-04  -3.577354E-04  -5.602467E-04
   4.400   8.401628E-02   1.468723E-03  -7.446821E-04  -5.943461E-04   6.204282E-05   6.436889E-02   1.323515E-03   3.470269E-04  -2.285867E-04  -5.540052E-04
   4.500   8.380306E-02   1.720654E-03  -5.606070E-04  -6.296158E-04   6.263954E-07   6.443925E-02   1.341326E-03   4.147880E-04  -9.720298E-05  -5.405068E-04
   4.600   8.358620E-02   1.961715E-03  -3.749507E-04  -6.222216E-04  -6.080346E-05   6.449669E-02   1.339544E-03   4.557630E-04   3.325466E-05  -5.195916E-04
   4.700   8.335521E-02   2.193057E-03  -2.014815E-04  -5.718171E-04  -1.196264E-04   6.452987E-02   1.331874E-03   4.627456E-04   1.594490E-04  -4.911978E-04
   4.800   8.309615E-02   2.419429E-03  -5.405957E-05  -4.803264E-04  -1.731235E-04   6.452539E-02   1.334264E-03   4.293983E-04   2.778833E-04  -4.553738E-04
   4.900   8.279199E-02   2.649162E-03   5.417977E-05  -3.519988E-04  -2.186328E-04   6.446812E-02   1.364219E-03   3.507110E-04   3.849278E-04  -4.123007E-04
   5.000   8.242328E-02   2.893865E-03   1.116737E-04  -1.933343E-04  -2.537224E-04   6.434168E-02   1.440012E-03   2.234445E-04   4.768664E-04  -3.623211E-04
   5.100   8.196888E-02   3.167821E-03   1.092593E-04  -1.286782E-05  -2.763726E-04   6.412903E-02   1.579791E-03   4.652993E-05   5.499710E-04  -3.059744E-04
   5.200   8.140700E-02   3.487133E-03   4.092042E-05   1.791873E-04  -2.851509E-04   6.381316E-02   1.800646E-03  -1.786122E-04   6.006099E-04  -2.440335E-04
   5.300   8.071623E-02   3.868661E-03  -9.560398E-05   3.714273E-04  -2.793662E-04   6.337781E-02   2.117675E-03  -4.478631E-04   6.253924E-04  -1.775375E-04
   5.400   7.987661E-02   4.328829E-03  -2.984068E-04   5.518571E-04  -2.591859E-04   6.280821E-02   2.543095E-03  -7.543371E-04   6.213469E-04  -1.078147E-04
   5.500   7.887069E-02   4.882376E-03  -5.612391E-04   7.085671E-04  -2.257017E-04   6.209177E-02   3.085460E-03  -1.088473E-03   5.861236E-04  -3.648855E-05
   5.600   7.768446E-02   5.541151E-03  -8.736067E-04   8.304484E-04  -1.809329E-04   6.121871E-02   3.749018E-03  -1.438299E-03   5.182089E-04   3.453905E-05
   5.700   7.630811E-02   6.313028E-03  -1.221148E-03   9.078979E-04  -1.277598E-04   6.018255E-02   4.533256E-03  -1.789863E-03   4.171331E-04   1.031306E-04
   5.800   7.473650E-02   7.201030E-03  -1.586287E-03   9.334619E-04  -6.978722E-05   5.898047E-02   5.432665E-03  -2.127826E-03   2.836511E-04   1.669852E-04
   5.900   7.296955E-02   8.202709E-03  -1.949118E-03   9.023686E-04  -1.114234E-05   5.761343E-02   6.436729E-03  -2.436178E-03   1.198747E-04   2.237371E-04
   6.000   7.101214E-02   9.309843E-03  -2.288492E-03   8.129063E-04   4.378005E-05   5.608623E-02   7.530164E-03  -2.699045E-03  -7.066345E-05   2.710784E-04
   6.100   6.887393E-02   1.050846E-02  -2.583217E-03   6.666119E-04   9.060789E-05   5.440727E-02   8.693374E-03  -2.901539E-03  -2.830299E-04   3.068958E-04
   6.200   6.656886E-02   1.177918E-02  -2.813297E-03   4.682510E-04   1.252955E-04   5.258824E-02   9.903124E-03  -3.030589E-03  -5.110039E-04   3.294132E-04
   6.300   6.411450E-02   1.309791E-02  -2.961132E-03   2.255834E-04   1.444160E-04   5.064361E-02   1.113338E-02  -3.075711E-03  -7.472859E-04   3.373271E-04
   6.400   6.153127E-02   1.443668E-02  -3.012594E-03  -5.107065E-05   1.454176E-04   4.859006E-02   1.235628E-02  -3.029645E-03  -9.837948E-04   3.299223E-04
   6.500   5.884159E-02   1.576489E-02  -2.957894E-03  -3.494370E-04   1.268219E-04   4.644588E-02   1.354318E-02  -2.888832E-03  -1.212038E-03   3.071569E-04
   6.600   5.606896E-02   1.705047E-02  -2.792196E-03  -6.560214E-04   8.834721E-05   4.423032E-02   1.466574E-02  -2.653688E-03  -1.423530E-03   2.697064E-04
   6.700   5.323721E-02   1.826125E-02  -2.515928E-03  -9.569195E-04   3.094381E-05   4.196293E-02   1.569697E-02  -2.328654E-03  -1.610239E-03   2.189603E-04
   6.800   5.036973E-02   1.936630E-02  -2.134769E-03  -1.238641E-03  -4.326001E-05   3.966304E-02   1.661221E-02  -1.922019E-03  -1.765014E-03   1.569699E-04
   6.900   4.748886E-02   2.033717E-02  -1.659336E-03  -1.488891E-03  -1.310982E-04   3.734927E-02   1.738999E-02  -1.445530E-03  -1.881978E-03   8.634821E-05
   7.000   4.461541E-02   2.114897E-02  -1.104571E-03  -1.697252E-03  -2.285808E-04   3.503913E-02   1.801275E-02  -9.138124E-04  -1.956850E-03   1.012998E-05
   7.100   4.176838E-02   2.178134E-02  -4.888983E-04  -1.855723E-03  -3.311635E-04   3.274877E-02   1.846736E-02  -3.436359E-04  -1.987168E-03  -6.839983E-05
   7.200   3.896477E-02   2.221911E-02   1.667944E-04  -1.959077E-03  -4.340502E-04   3.049278E-02   1.874546E-02   2.469148E-04  -1.972404E-03  -1.458944E-04
   7.300   3.621952E-02   2.245277E-02   8.402811E-04  -2.005033E-03  -5.325029E-04   2.828412E-02   1.884362E-02   8.393215E-04  -1.913964E-03  -2.191362E-04
   7.400   3.354555E-02   2.247866E-02   1.509149E-03  -1.994218E-03  -6.221365E-04   2.613410E-02   1.876320E-02   1.415505E-03  -1.815067E-03  -2.852174E-04
   7.500   3.095392E-02   2.229891E-02   2.151903E-03  -1.929961E-03  -6.991740E-04   2.405247E-02   1.851022E-02   1.958636E-03  -1.680522E-03  -3.416933E-04
   7.600   2.845400E-02   2.192114E-02   2.748963E-03  -1.817923E-03  -7.606466E-04   2.204747E-02   1.809487E-02   2.453847E-03  -1.516420E-03  -3.867024E-04
   7.700   2.605358E-02   2.135798E-02   3.283489E-03  -1.665613E-03  -8.045259E-04   2.012599E-02   1.753099E-02   2.888793E-03  -1.329759E-03  -4.190409E-04
   7.800   2.375915E-02   2.062637E-02   3.742011E-03  -1.481823E-03  -8.297830E-04   1.829364E-02   1.683542E-02   3.254053E-03  -1.128048E-03  -4.381918E-04
   7.900   2.157597E-02   1.974677E-02   4.114816E-03  -1.276038E-03  -8.363760E-04   1.655491E-02   1.602731E-02   3.543354E-03  -9.188901E-04  -4.443073E-04
   8.000   1.950823E-02   1.874227E-02   4.396124E-03  -1.057858E-03  -8.251729E-04   1.491322E-02   1.512733E-02   3.753609E-03  -7.096038E-04  -4.381498E-04
   8.100   1.755913E-02   1.763762E-02   4.584023E-03  -8.364727E-04  -7.978209E-04   1.337103E-02   1.415692E-02   3.884801E-03  -5.068827E-04  -4.209984E-04
